"X","X.1","X.2","X.3","X.4","X.5","Totals","Totals.1","Totals.2","Totals.3","Totals.4","Shooting","Shooting.1","Shooting.2","Per.Game","Per.Game.1","Per.Game.2","Per.Game.3","Advanced","Advanced.1","Advanced.2","Advanced.3","Team"
"1972","NBA","10","155","Chuck Taylor","West Liberty State College","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","11","166","Jackie Young","Rocky Mountain College","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","12","174","Al Cotler","Penn","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","13","180","Mike Barr","Duquesne","73","1224","285","130","175",".437","",".719","16.8","3.9","1.8","2.4","1.4",".054","-0.7","0.4","CHI"
"1972","NBA","14","187","Andrew Pettes","Oklahoma","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","15","192","Greg Lowery","Texas Tech","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","16","196","Charles Hall","Montana-Western","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","17","197","John Thornton","South Carolina State","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","18","198","Ron Manning","Manhattan College","","","","","","","","","","","","","","","","","CHI"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","CHI"
"1971","NBA","1","15","Kenny McIntosh","Eastern Michigan","177","3700","934","696","173",".361","",".581","20.9","5.3","3.9","1.0","-1.5","-0.020","-3.2","-0.7","CHI"
"1971","NBA","2","20","Willie Sojourner","Weber State","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","2","32","Howard Porter","Villanova","457","8534","4215","1872","211",".469","",".802","18.7","9.2","4.1","0.5","17.6",".099","-1.0","1.8","CHI"
"1971","NBA","3","40","Clifford Ray","Oklahoma","784","19940","5821","6953","1728",".524","",".588","25.4","7.4","8.9","2.2","56.7",".136","0.5","10.3","CHI"
"1971","NBA","3","47","Mike Gale","Elizabeth City State University","453","11189","3372","1122","1965",".474","",".825","24.7","7.4","2.5","4.3","18.0",".077","0.6","7.3","CHI"
"1971","NBA","3","49","Dick Gibbs (↳SDR)","Texas-El Paso","333","4310","1739","624","260",".402","",".799","12.9","5.2","1.9","0.8","2.6",".029","-3.5","-1.0","CHI"
"1971","NBA","4","66","Jim Irving","Saint Louis","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","5","83","Larry Weatherford","Purdue","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","6","100","Jim England","Tennessee","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","7","117","Artis Gilmore","Jacksonville University","909","29685","15579","9161","1777",".599","",".713","32.7","17.1","10.1","2.0","107.4",".174","2.6","34.7","CHI"
"1971","NBA","8","134","Clarence Sherrod","Wisconsin","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","9","150","Jackie Dinkins","Voorhees College","18","89","45","20","7",".415","",".550","4.9","2.5","1.1","0.4","0.1",".073","","","CHI"
"1971","NBA","10","166","David Withers","University of Delaware","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","11","180","Al Smith","Bradley","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","12","193","Ken Riley","Middle Tennessee","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","13","205","Ed Goode","DePaul","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","14","214","Richard Dixon","Loyola Marymount","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","15","223","Lisco Thomas","Furman University","","","","","","","","","","","","","","","","","CHI"
"1971","NBA","16","229","Bob Bissant","Loyola New Orleans","","","","","","","","","","","","","","","","","CHI"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","CHI"
"1970","NBA","1","11","Jimmy Collins","New Mexico State","74","612","281","66","70",".414","",".804","8.3","3.8","0.9","0.9","0.6",".044","","","CHI"
